userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
31/08/2021 14:20:24,3.17,6.04,6.03,0.33,1,0,alternatedPitch,7,3,8/31/2021 14:38:49,bvi
31/08/2021 14:20:24,4.30,6.18,6.18,0.14,2,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,2.60,8.51,8.51,0.06,3,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,11.53,0.33,0.06,0.32,4,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,44.58,19.13,19.13,0.13,5,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,48.55,13.45,13.45,0.08,6,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,12.03,16.11,16.11,0.05,7,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,2.52,1.03,0.13,1.02,8,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,48.97,0.13,0.05,0.12,9,0,alternatedPitch,7,3,,
31/08/2021 14:20:24,71.85,40.89,40.89,0.15,10,0,alternatedPitch,7,3,,
4/8/2021 9:55:34 AM,6.90,0.36,0.35,0.08,1,6,alternatedPitch,2,6,4/8/2021 9:55:34 AM,bvi
4/8/2021 9:55:34 AM,11.18,0.13,0.11,0.06,2,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,8.12,0.37,0.36,0.09,3,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,8.65,0.07,0.07,0.00,4,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,60.55,0.23,0.22,0.08,5,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,20.62,0.81,0.02,0.81,6,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,35.95,0.17,0.15,0.06,7,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,27.44,0.07,0.05,0.04,8,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,16.60,0.27,0.25,0.09,9,6,alternatedPitch,2,6,,
4/8/2021 9:55:34 AM,12.23,0.07,0.05,0.04,10,6,alternatedPitch,2,6,,
9/4/2021 1:46:06 PM,6.165801,3.67E+00,2.953333,2.18,1,0,alternatedPitch,8,3,9/4/2021 0:39:25,bvi
9/4/2021 1:46:06 PM,6.983406,6.378005,6.121669,1.790003,2,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,3.050511,8.951348,1.978333,8.729997,3,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,2.816214,5.902848,3.153333,4.99,4,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,1.682943,6.003121,5.361666,2.7,5,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,0.8670982,6.625101,5.83E+00,3.15,6,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,1.965845,3.304925,2.875001,1.63,7,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,4.299286,9.584872,9.096668,3.019999,8,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,1.733918,12.17247,11.69667,3.37,9,0,alternatedPitch,8,3,,
9/4/2021 1:46:06 PM,2.66817,11.51729,10.44167,4.859998,10,0,alternatedPitch,8,3,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,
N = 167,16.35,6.28,5.72,1.34,,,,,,,
,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,
,Acc:,,0.4666666667,0.7333333333,0.65,,,,,,
