userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
19/08/2021 12:30:01 PM,3.93,3.67,0.13,3.67,1,0,alternatedPitch,3,3,8/19/2021 1:28:24,2,1
19/08/2021 12:30:01 PM,34.86,16.84,4.92,16.10,2,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,21.69,7.52,0.04,7.52,3,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,10.36,7.71,0.19,7.71,4,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,47.06,26.92,11.31,24.43,5,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,25.87,17.03,11.11,12.90,6,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,14.50,7.46,0.26,7.46,7,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,5.74,12.87,0.07,12.87,8,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,13.98,9.26,0.39,9.25,9,0,alternatedPitch,3,3,,2,1
19/08/2021 12:30:01 PM,4.86,9.55,0.02,9.55,10,0,alternatedPitch,3,3,,2,1
23/08/2021 23:41:23,12.45,3.55,0.12,3.55,1,1,alternatedPitch,1,5,8/24/2021 0:22:57,2,1
23/08/2021 23:41:23,41.02,3.28,0.13,3.28,2,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,35.47,3.33,0.35,3.31,3,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,63.32,3.22,0.01,3.22,4,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,36.61,3.54,0.09,3.54,5,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,133.55,4.73,0.23,4.72,6,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,11.88,3.64,0.14,3.64,7,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,10.26,3.78,0.03,3.78,8,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,10.72,3.68,0.20,3.67,9,1,alternatedPitch,1,5,,2,1
23/08/2021 23:41:23,28.20,3.39,0.10,3.39,10,1,alternatedPitch,1,5,,2,1
25/08/2021 17:30:09,69.17,0.34,0.27,0.21,1,2,alternatedPitch,8,1,8/25/2021 18:13:52,2,1
25/08/2021 17:30:09,85.27,2.34,2.31,0.33,2,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,30.98,5.77,5.75,0.48,3,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,26.28,0.83,0.34,0.76,4,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,29.83,0.27,0.23,0.15,5,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,16.81,10.09,9.94,1.78,6,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,37.62,0.09,0.07,0.06,7,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,17.72,0.53,0.01,0.53,8,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,30.06,0.79,0.37,0.70,9,2,alternatedPitch,8,1,,2,1
25/08/2021 17:30:09,24.23,0.87,0.19,0.85,10,2,alternatedPitch,8,1,,2,1
25/08/2021 18:45:10,49.15,10.43,0.04,10.43,1,0,alternatedPitch,2,3,8/25/2021 19:16:15,1,1
25/08/2021 18:45:10,33.72,8.88,0.34,8.87,2,0,alternatedPitch,2,3,,1,1
25/08/2021 18:45:10,3.59,3.78,0.15,3.78,3,0,alternatedPitch,2,3,,1,1
25/08/2021 18:45:10,12.25,2.55,0.04,2.55,4,0,alternatedPitch,2,3,,1,1
25/08/2021 18:45:10,15.16,0.11,0.06,0.09,5,0,alternatedPitch,2,3,,1,1
