userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,
19/08/2021 12:30:01 PM,3.93,3.67,0.13,3.67,1,0,alternatedPitch,3,3,8/19/2021 1:28:24
19/08/2021 12:30:01 PM,34.86,16.84,4.92,16.10,2,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,21.69,7.52,0.04,7.52,3,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,10.36,7.71,0.19,7.71,4,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,47.06,26.92,11.31,24.43,5,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,25.87,17.03,11.11,12.90,6,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,14.50,7.46,0.26,7.46,7,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,5.74,12.87,0.07,12.87,8,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,13.98,9.26,0.39,9.25,9,0,alternatedPitch,3,3,
19/08/2021 12:30:01 PM,4.86,9.55,0.02,9.55,10,0,alternatedPitch,3,3,
23/08/2021 23:41:23,12.45,3.55,0.12,3.55,1,1,alternatedPitch,1,5,8/24/2021 0:22:57
23/08/2021 23:41:23,41.02,3.28,0.13,3.28,2,1,alternatedPitch,1,5,
23/08/2021 23:41:23,35.47,3.33,0.35,3.31,3,1,alternatedPitch,1,5,
23/08/2021 23:41:23,63.32,3.22,0.01,3.22,4,1,alternatedPitch,1,5,
23/08/2021 23:41:23,36.61,3.54,0.09,3.54,5,1,alternatedPitch,1,5,
23/08/2021 23:41:23,133.55,4.73,0.23,4.72,6,1,alternatedPitch,1,5,
23/08/2021 23:41:23,11.88,3.64,0.14,3.64,7,1,alternatedPitch,1,5,
23/08/2021 23:41:23,10.26,3.78,0.03,3.78,8,1,alternatedPitch,1,5,
23/08/2021 23:41:23,10.72,3.68,0.20,3.67,9,1,alternatedPitch,1,5,
23/08/2021 23:41:23,28.20,3.39,0.10,3.39,10,1,alternatedPitch,1,5,
8/24/2021 4:31:47 PM,11.98,0.88,0.26,0.84,1,1,alternatedPitch,8,5,8/24/2021 17:57:12
8/24/2021 4:31:47 PM,30.61,6.04,6.03,0.36,2,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,11.15,0.37,0.31,0.20,3,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,21.41,0.40,0.35,0.19,4,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,36.62,0.18,0.14,0.12,5,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,10.84,0.23,0.21,0.08,6,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,9.65,0.15,0.14,0.05,7,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,21.34,0.45,0.25,0.37,8,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,25.19,2.25,2.25,0.17,9,1,alternatedPitch,8,5,
8/24/2021 4:31:47 PM,34.49,3.45,3.45,0.12,10,1,alternatedPitch,8,5,
8/24/2021 10:09:21 PM,18.03,0.29,0.29,0.00,1,2,alternatedPitch,5,1,8/24/2021 20:59:36
8/24/2021 10:09:21 PM,22.78,0.12,0.12,0.03,2,2,alternatedPitch,5,1,
8/24/2021 10:09:21 PM,15.97,0.24,0.24,0.02,3,2,alternatedPitch,5,1,
8/24/2021 10:09:21 PM,35.75,0.28,0.26,0.11,4,2,alternatedPitch,5,1,
8/24/2021 10:09:21 PM,15.48,0.22,0.21,0.06,5,2,alternatedPitch,5,1,
8/24/2021 10:09:21 PM,16.40,0.05,0.04,0.03,6,2,alternatedPitch,5,1,
8/24/2021 10:09:21 PM,39.42,0.34,0.34,0.03,7,2,alternatedPitch,5,1,
