userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
31/08/2021 14:18:29,9.55,22.74,21.05,8.61,1,0,channelBasedPitch,8,0,8/31/2021 14:54:44,bvi
31/08/2021 14:18:29,10.73,42.64,42.01,7.28,2,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,14.05,6.98,6.44,2.71,3,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,8.04,34.47,32.54,11.37,4,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,13.17,8.46,8.45,0.31,5,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,13.30,45.09,44.85,4.67,6,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,5.95,4.44,0.59,4.40,7,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,16.77,31.10,30.37,6.71,8,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,13.57,31.29,31.20,2.28,9,0,channelBasedPitch,8,0,,
31/08/2021 14:18:29,5.47,23.74,23.24,4.86,10,0,channelBasedPitch,8,0,,
31/08/2021 14:20:24,7.25,2.83,2.83,0.03,1,1,channelBasedPitch,8,3,8/31/2021 14:38:49,bvi
31/08/2021 14:20:24,26.75,12.22,12.22,0.11,2,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,20.07,0.53,0.48,0.22,3,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,17.53,0.42,0.42,0.03,4,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,7.70,1.26,0.19,1.25,5,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,38.18,1.63,0.32,1.60,6,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,10.77,1.07,0.87,0.62,7,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,92.23,28.48,28.48,0.09,8,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,117.53,1.64,1.61,0.32,9,1,channelBasedPitch,8,3,,
31/08/2021 14:20:24,33.90,1.05,1.02,0.26,10,1,channelBasedPitch,8,3,,
4/8/2021 9:55:34 AM,8.78,0.13,0.00,0.13,1,4,channelBasedPitch,4,6,4/8/2021 9:55:34 AM,bvi
4/8/2021 9:55:34 AM,10.68,0.05,0.01,0.05,2,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,14.83,0.08,0.03,0.07,3,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,19.07,0.03,0.03,0.00,4,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,18.18,0.04,0.03,0.03,5,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,6.25,0.07,0.05,0.06,6,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,11.18,0.13,0.09,0.09,7,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,21.17,0.06,0.03,0.05,8,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,10.72,0.11,0.10,0.01,9,4,channelBasedPitch,4,6,,
4/8/2021 9:55:34 AM,9.95,0.22,0.19,0.11,10,4,channelBasedPitch,4,6,,
9/4/2021 1:46:06 PM,4.698796,8.511383,8.088334,2.65,1,1,channelBasedPitch,7,3,9/4/2021 0:39:25,bvi
9/4/2021 1:46:06 PM,2,13,13,0.11,2,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,1.749811,14.57028,14.55833,0.5899998,3,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,4.766243,5.653335,4.111666,3.879999,4,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,0.9669,4.003848,3.78,1.32,5,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,0.6335741,9.743569,6.978333,6.8,6,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,0.6839513,14.42345,13.65333,4.65,7,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,6.481629,1.792738,0.2133333,1.78,8,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,1.334277,7.546915,7,2.43,9,1,channelBasedPitch,7,3,,
9/4/2021 1:46:06 PM,1.033102,3.476794,1.45E+00,3.16,10,1,channelBasedPitch,7,3,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,
N = 175,15.95,9.64,9.07,2.14,,,,,,,
,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,
,Acc:,,0.5,0.625,0.45,,,,,,
