userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
30/08/2021 9:35:39 PM,8.97,0.38,0.18,0.33,1,1,pitchOnly,3,2,8/30/2021 10:56:22,bvi
30/08/2021 9:35:39 PM,3.03,0.44,0.35,0.27,2,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,5.67,0.17,0.04,0.17,3,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,13.45,0.28,0.16,0.23,4,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,11.16,0.16,0.00,0.16,5,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,21.42,0.43,0.23,0.37,6,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,18.10,0.18,0.17,0.06,7,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,9.15,0.04,0.03,0.03,8,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,8.61,0.50,0.16,0.48,9,1,pitchOnly,3,2,,
30/08/2021 9:35:39 PM,6.21,0.40,0.22,0.34,10,1,pitchOnly,3,2,,
18/08/2021 11:10:35 AM,8.71,0.57,0.09,0.56,1,1,pitchOnly,8,2,8/17/2021 22:32:29,bvi
18/08/2021 11:10:35 AM,13.14,0.09,0.07,0.05,2,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,29.09,0.48,0.06,0.48,3,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,32.07,0.41,0.31,0.26,4,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,12.86,0.15,0.04,0.14,5,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,22.75,0.09,0.06,0.07,6,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,42.06,0.10,0.10,0.00,7,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,17.36,0.28,0.27,0.08,8,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,16.93,0.21,0.21,0.03,9,1,pitchOnly,8,2,,
18/08/2021 11:10:35 AM,11.66,0.16,0.16,0.03,10,1,pitchOnly,8,2,,
31/08/2021 14:18:29,2.78,37.00,36.00,8.54,1,2,pitchOnly,5,0,8/31/2021 14:54:44,bvi
31/08/2021 14:18:29,2.38,33.07,32.95,2.80,2,2,pitchOnly,5,0,,
31/08/2021 14:18:29,7.17,10.35,10.32,0.82,3,2,pitchOnly,5,0,,
