userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
8/23/2021 10:18:19 PM,20.13,0.12,0.08,0.09,1,2,pitchOnly,6,0,8/23/2021 22:44:47,4,2
8/23/2021 10:18:19 PM,7.93,0.11,0.10,0.02,2,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,10.72,0.17,0.07,0.15,3,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,21.22,0.28,0.28,0.03,4,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,23.35,0.11,0.07,0.09,5,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,6.53,0.23,0.08,0.22,6,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,13.40,0.35,0.23,0.26,7,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,22.87,0.14,0.12,0.07,8,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,9.07,0.02,0.02,0.00,9,2,pitchOnly,6,0,,4,2
8/23/2021 10:18:19 PM,14.55,0.40,0.40,0.03,10,2,pitchOnly,6,0,,4,2
24-8-2021 20:19:47,10.15,46.63,7.30,46.06,1,0,pitchOnly,3,6,8/24/2021 15:38:28,5,2
24-8-2021 20:19:47,3.04,41.47,9.74,40.31,2,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,2.84,38.02,32.58,19.59,3,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,3.82,45.48,40.09,21.48,4,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,7.10,34.72,33.23,10.05,5,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,2.35,40.74,40.71,1.50,6,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,2.57,36.77,36.58,3.76,7,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,1.80,36.44,36.28,3.38,8,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,2.20,34.25,34.24,0.98,9,0,pitchOnly,3,6,,5,2
24-8-2021 20:19:47,2.56,33.46,29.93,14.97,10,0,pitchOnly,3,6,,5,2
8/24/2021 7:36:46 PM,58.79,0.17,0.16,0.06,1,2,pitchOnly,6,0,8/24/2021 20:13:56,3,2
8/24/2021 7:36:46 PM,16.33,0.06,0.03,0.05,2,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,26.80,0.14,0.05,0.13,3,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,27.95,0.10,0.07,0.07,4,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,20.00,0.06,0.03,0.05,5,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,18.06,0.04,0.03,0.02,6,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,59.71,0.11,0.03,0.10,7,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,30.16,0.09,0.03,0.09,8,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,36.23,0.13,0.10,0.08,9,2,pitchOnly,6,0,,3,2
8/24/2021 7:36:46 PM,30.73,0.17,0.10,0.13,10,2,pitchOnly,6,0,,3,2
25/08/2021 15:00:07,6.40,0.35,0.24,0.26,1,1,pitchOnly,1,2,8/25/2021 14:50:02,6,2
25/08/2021 15:00:07,11.82,0.76,0.75,0.15,2,1,pitchOnly,1,2,,6,2
