userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musical theory 7,musical theory 2,Audio speed
23/08/2021 23:41:23,22.85,2.89,0.11,2.89,1,0,spatialAlternatedPitch,8,5,8/24/2021 0:22:57,2,1,1
23/08/2021 23:41:23,12.25,5.08,2.35,4.50,2,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,0.94,8.07,6.90,4.17,3,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,34.92,4.09,0.01,4.09,4,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,12.20,3.03,0.01,3.03,5,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,7.64,3.00,0.05,3.00,6,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,20.14,3.03,0.22,3.02,7,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,16.30,2.68,0.14,2.68,8,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,9.95,3.30,0.19,3.29,9,0,spatialAlternatedPitch,8,5,,2,1,1
23/08/2021 23:41:23,10.17,3.22,0.11,3.22,10,0,spatialAlternatedPitch,8,5,,2,1,1
8/24/2021 4:31:47 PM,11.61,3.18,0.17,3.18,1,0,spatialAlternatedPitch,1,5,8/24/2021 17:57:12,3,2,1
8/24/2021 4:31:47 PM,4.77,2.56,0.15,2.56,2,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,8.85,4.36,0.13,4.36,3,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,16.25,3.13,0.27,3.12,4,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,12.75,1.43,0.34,1.39,5,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,24.86,1.35,0.02,1.35,6,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,8.36,2.16,0.23,2.15,7,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,16.51,3.22,0.20,3.21,8,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,6.58,2.32,1.01,2.09,9,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 4:31:47 PM,5.63,0.70,0.12,0.69,10,0,spatialAlternatedPitch,1,5,,3,2,1
8/24/2021 10:09:21 PM,15.77,0.09,0.03,0.09,1,1,spatialAlternatedPitch,2,1,8/24/2021 20:59:36,3,2,1
8/24/2021 10:09:21 PM,27.30,0.06,0.04,0.04,2,1,spatialAlternatedPitch,2,1,,3,2,1
8/24/2021 10:09:21 PM,37.08,0.13,0.13,0.01,3,1,spatialAlternatedPitch,2,1,,3,2,1
