userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
19/08/2021 2:25:19 p.m.,5.84,1.60,0.40,1.55,1,2,spatialAlternatedPitch,2,4,8/18/2021 23:21:52,bvi
19/08/2021 2:25:19 p.m.,2.41,4.59,0.26,4.58,2,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,1.08,3.75,0.02,3.75,3,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,3.10,2.00,0.16,1.99,4,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,3.36,2.39,0.15,2.39,5,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,2.58,2.58,0.18,2.57,6,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,6.49,1.18,0.15,1.17,7,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,3.38,2.51,0.33,2.49,8,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,3.44,3.35,0.33,3.33,9,2,spatialAlternatedPitch,2,4,,
19/08/2021 2:25:19 p.m.,3.31,2.43,0.08,2.43,10,2,spatialAlternatedPitch,2,4,,
4/8/2021 9:55:34 AM,29.37,0.03,0.00,0.03,1,3,spatialAlternatedPitch,3,6,4/8/2021 9:55:34 AM,bvi
4/8/2021 9:55:34 AM,11.12,0.18,0.18,0.03,2,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,17.10,0.24,0.24,0.00,3,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,9.85,0.16,0.13,0.10,4,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,13.30,0.22,0.15,0.15,5,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,28.25,0.24,0.24,0.00,6,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,9.33,0.34,0.34,0.05,7,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,10.04,0.08,0.08,0.01,8,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,4.87,0.18,0.14,0.11,9,3,spatialAlternatedPitch,3,6,,
4/8/2021 9:55:34 AM,20.20,0.04,0.04,0.01,10,3,spatialAlternatedPitch,3,6,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,
N = 170,9.42,1.40,0.18,1.34,,,,,,,
,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,
,Acc:,,1,0.65,0.65,,,,,,
