userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,Expertise
8/24/2021 4:31:47 PM,11.61,3.18,0.17,3.18,1,0,spatialAlternatedPitch,1,5,8/24/2021 17:57:12,3,2
8/24/2021 4:31:47 PM,4.77,2.56,0.15,2.56,2,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,8.85,4.36,0.13,4.36,3,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,16.25,3.13,0.27,3.12,4,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,12.75,1.43,0.34,1.39,5,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,24.86,1.35,0.02,1.35,6,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,8.36,2.16,0.23,2.15,7,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,16.51,3.22,0.20,3.21,8,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,6.58,2.32,1.01,2.09,9,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 4:31:47 PM,5.63,0.70,0.12,0.69,10,0,spatialAlternatedPitch,1,5,,3,2
8/24/2021 10:09:21 PM,15.77,0.09,0.03,0.09,1,1,spatialAlternatedPitch,2,1,8/24/2021 20:59:36,3,2
8/24/2021 10:09:21 PM,27.30,0.06,0.04,0.04,2,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,37.08,0.13,0.13,0.01,3,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,25.35,0.05,0.05,0.00,4,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,30.03,0.06,0.05,0.01,5,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,15.43,0.06,0.05,0.04,6,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,54.50,0.08,0.08,0.03,7,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,22.08,0.20,0.20,0.04,8,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,27.48,0.26,0.26,0.04,9,1,spatialAlternatedPitch,2,1,,3,2
8/24/2021 10:09:21 PM,16.02,0.13,0.11,0.07,10,1,spatialAlternatedPitch,2,1,,3,2
8/29/2021 9:26:51 PM,40.42,26.20,1.00,26.18,1,0,spatialAlternatedPitch,6,5,8/29/2021 21:51:32,5,2
8/29/2021 9:26:51 PM,11.89,11.47,0.37,11.47,2,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,15.72,16.90,1.28,16.86,3,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,19.64,17.83,0.40,17.83,4,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,20.18,20.94,0.04,20.94,5,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,24.43,41.77,0.20,41.77,6,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,13.27,17.06,0.19,17.06,7,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,10.82,9.66,0.15,9.66,8,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,17.31,27.83,0.52,27.83,9,0,spatialAlternatedPitch,6,5,,5,2
8/29/2021 9:26:51 PM,11.31,24.76,0.38,24.75,10,0,spatialAlternatedPitch,6,5,,5,2
,12.88,5.29,0.35,5.28,1,4,spatialAlternatedPitch,3,0,yho,4,2
,14.52,0.76,0.08,0.76,2,4,spatialAlternatedPitch,3,0,,4,2
,35.03,2.28,2.28,0.11,3,4,spatialAlternatedPitch,3,0,,4,2
,35.90,1.74,0.11,1.74,4,4,spatialAlternatedPitch,3,0,,4,2
,8.53,0.64,0.32,0.56,5,4,spatialAlternatedPitch,3,0,,4,2
,22.53,0.38,0.32,0.21,6,4,spatialAlternatedPitch,3,0,,4,2
,15.72,5.73,0.22,5.73,7,4,spatialAlternatedPitch,3,0,,4,2
,29.28,2.39,0.12,2.39,8,4,spatialAlternatedPitch,3,0,,4,2
,11.92,4.70,0.25,4.69,9,4,spatialAlternatedPitch,3,0,,4,2
,9.40,1.96,0.15,1.95,10,4,spatialAlternatedPitch,3,0,,4,2
06/09/2021 16:10:32,13.90006,0.2424816,0.2416553,0.01999993,1,2,spatialAlternatedPitch,4,4,9/6/2021 16:44:09,5,2
06/09/2021 16:10:32,22.58353,0.1000494,0.08665657,0.0500052,2,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,30.98322,0.3244905,0.1799841,0.2699997,3,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,32.40097,0.1824875,0.03002644,0.1800003,4,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,33.28277,0.1306891,0.01332283,0.1300082,5,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,14.54996,0.1030771,0.09499961,0.0399996,6,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,28.48381,0.03217828,0.01166868,0.02998805,7,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,38.81676,0.0311358,0.008334756,0.02999949,8,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,15.58321,0.1133204,0.1133204,5.96E-08,9,2,spatialAlternatedPitch,4,4,,5,2
06/09/2021 16:10:32,20.1338,0.07007866,0.003321171,0.06999992,10,2,spatialAlternatedPitch,4,4,,5,2
16/09/2021 14:48:21,26.57635,0.5686957,0.4949899,0.2799996,1,2,spatialAlternatedPitch,7,4,9/16/2021 15:21:03,5,2
16/09/2021 14:48:21,19.21893,0.656568,0.5616775,0.34,2,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,49.9166,4.250057,4.25001,0.01999528,3,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,24.94174,2.296757,2.294993,0.08999872,4,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,32.81635,0.86483,0.8550034,0.1300004,5,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,36.67011,0.6171693,0.4699912,0.4000077,6,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,98.09791,2.797232,0.4548988,2.759995,7,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,30.88132,0.4717687,0.4716629,0.009990215,8,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,22.889,0.7244999,0.6800013,0.2499967,9,2,spatialAlternatedPitch,7,4,,5,2
16/09/2021 14:48:21,27.02654,1.43,0.5499955,1.320002,10,2,spatialAlternatedPitch,7,4,,5,2
19/08/2021 2:25:19 p.m.,5.84,1.60,0.40,1.55,1,2,spatialAlternatedPitch,2,4,8/18/2021 23:21:52,5,2
19/08/2021 2:25:19 p.m.,2.41,4.59,0.26,4.58,2,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,1.08,3.75,0.02,3.75,3,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,3.10,2.00,0.16,1.99,4,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,3.36,2.39,0.15,2.39,5,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,2.58,2.58,0.18,2.57,6,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,6.49,1.18,0.15,1.17,7,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,3.38,2.51,0.33,2.49,8,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,3.44,3.35,0.33,3.33,9,2,spatialAlternatedPitch,2,4,,5,2
19/08/2021 2:25:19 p.m.,3.31,2.43,0.08,2.43,10,2,spatialAlternatedPitch,2,4,,5,2
4/8/2021 9:55:34 AM,29.37,0.03,0.00,0.03,1,3,spatialAlternatedPitch,3,6,4/8/2021 9:55:34 AM,6,2
4/8/2021 9:55:34 AM,11.12,0.18,0.18,0.03,2,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,17.10,0.24,0.24,0.00,3,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,9.85,0.16,0.13,0.10,4,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,13.30,0.22,0.15,0.15,5,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,28.25,0.24,0.24,0.00,6,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,9.33,0.34,0.34,0.05,7,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,10.04,0.08,0.08,0.01,8,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,4.87,0.18,0.14,0.11,9,3,spatialAlternatedPitch,3,6,,6,2
4/8/2021 9:55:34 AM,20.20,0.04,0.04,0.01,10,3,spatialAlternatedPitch,3,6,,6,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,,,,,,,,#DIV/0!,7,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,0.170893633,6,
N = 170,19.70,3.87,0.35,3.69,,,,,,6.419972274,5,
,,,,,,,,,,2.58887413,4,
,,,X target,Y target,2D target,,,,,1.27737088,3,
,Acc:,,0.9625,0.6375,0.6,,,,,#DIV/0!,2,
,,,,,,,,,,#DIV/0!,1,
BVI ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 20,9.42,1.40,0.18,1.34,,less error-prone,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,X target,Y target,2D target,,,,80,3.874299827,Some/High,
,Acc:,,1,0.65,0.65,more accurate,,,0,#DIV/0!,Low/None,
,,,,,,,,,,,,
SIGHTED ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 150,23.13,4.70,0.40,4.48,,,,,,,,
,,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,,
,Acc:,,0.95,0.6333333333,0.5428571429,,,,,,,
