userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
19/08/2021 2:25:19 p.m.,13.69,2.13,0.90,1.93,1,1,spatialHarmonicsOneD,8,4,8/18/2021 23:21:52,bvi
19/08/2021 2:25:19 p.m.,7.52,9.75,9.58,1.83,2,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,4.36,6.95,6.72,1.78,3,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,2.55,9.27,9.02,2.13,4,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,7.34,2.11,0.01,2.11,5,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,1.71,4.40,3.72,2.35,6,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,4.03,2.20,0.41,2.16,7,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,6.07,2.16,0.04,2.16,8,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,4.61,2.04,0.10,2.04,9,1,spatialHarmonicsOneD,8,4,,
19/08/2021 2:25:19 p.m.,4.53,2.33,0.90,2.15,10,1,spatialHarmonicsOneD,8,4,,
4/8/2021 9:55:34 AM,15.42,0.37,0.37,0.01,1,2,spatialHarmonicsOneD,0,6,4/8/2021 9:55:34 AM,bvi
4/8/2021 9:55:34 AM,11.58,1.54,1.52,0.22,2,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,6.77,0.26,0.06,0.25,3,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,15.73,0.88,0.84,0.28,4,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,8.62,0.55,0.50,0.23,5,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,21.78,0.18,0.04,0.18,6,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,2.08,6.09,6.09,0.13,7,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,13.05,0.28,0.02,0.28,8,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,11.17,0.05,0.05,0.03,9,2,spatialHarmonicsOneD,0,6,,
4/8/2021 9:55:34 AM,11.38,0.20,0.20,0.05,10,2,spatialHarmonicsOneD,0,6,,
,,,,,,,,,,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,
N = 180,8.70,2.69,2.05,1.11,,,,,,,
,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,
,Acc:,,0.75,0.65,0.5,,,,,,
