userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
24-8-2021 20:19:47,6.47,0.39,0.36,0.13,1,2,spatialHarmonicsOneD,5,6,8/24/2021 15:38:28,5,2
24-8-2021 20:19:47,14.77,1.00,0.02,1.00,2,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,10.27,0.99,0.11,0.98,3,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,7.90,0.86,0.21,0.83,4,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,4.63,0.79,0.38,0.69,5,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,15.90,0.94,0.29,0.90,6,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,11.53,1.21,0.77,0.93,7,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,10.21,0.49,0.14,0.47,8,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,5.94,0.75,0.27,0.70,9,2,spatialHarmonicsOneD,5,6,,5,2
24-8-2021 20:19:47,1.02,1.03,0.13,1.02,10,2,spatialHarmonicsOneD,5,6,,5,2
8/24/2021 10:09:21 PM,23.42,0.70,0.70,0.05,1,0,spatialHarmonicsOneD,6,1,8/24/2021 20:59:36,3,2
8/24/2021 10:09:21 PM,35.95,1.57,1.56,0.17,2,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,54.87,5.30,5.30,0.07,3,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,19.15,0.58,0.54,0.20,4,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,9.33,0.91,0.90,0.02,5,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,11.77,1.90,1.87,0.33,6,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,19.00,2.47,2.47,0.06,7,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,31.72,1.69,1.69,0.10,8,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,46.18,1.76,1.72,0.35,9,0,spatialHarmonicsOneD,6,1,,3,2
8/24/2021 10:09:21 PM,32.73,0.73,0.73,0.09,10,0,spatialHarmonicsOneD,6,1,,3,2
8/25/2021 4:52:44 PM,16.20,0.41,0.22,0.34,1,1,spatialHarmonicsOneD,8,4,8/25/2021 15:08:49,3,2
8/25/2021 4:52:44 PM,10.45,5.15,5.14,0.32,2,1,spatialHarmonicsOneD,8,4,,3,2
8/25/2021 4:52:44 PM,14.98,0.40,0.09,0.39,3,1,spatialHarmonicsOneD,8,4,,3,2
8/25/2021 4:52:44 PM,10.65,0.70,0.70,0.02,4,1,spatialHarmonicsOneD,8,4,,3,2
8/25/2021 4:52:44 PM,18.68,0.31,0.01,0.31,5,1,spatialHarmonicsOneD,8,4,,3,2
