userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musical theory 7,musical theory 2,Audio speed
24-8-2021 20:19:47,2.51,0.91,0.10,0.90,1,1,spatialHarmonicsTwoD,2,6,8/24/2021 15:38:28,5,2,2
24-8-2021 20:19:47,13.67,1.32,0.47,1.23,2,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,11.75,1.43,0.53,1.33,3,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,7.42,0.80,0.51,0.61,4,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,7.78,1.03,0.15,1.02,5,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,10.40,0.65,0.13,0.64,6,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,9.44,1.43,0.53,1.33,7,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,11.37,0.96,0.14,0.95,8,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,12.71,0.34,0.16,0.30,9,1,spatialHarmonicsTwoD,2,6,,5,2,2
24-8-2021 20:19:47,9.67,0.08,0.01,0.08,10,1,spatialHarmonicsTwoD,2,6,,5,2,2
25/08/2021 15:00:07,17.67,2.76,2.31,1.50,1,2,spatialHarmonicsTwoD,0,2,8/25/2021 14:50:02,6,2,2
25/08/2021 15:00:07,29.95,0.19,0.17,0.08,2,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,4.27,0.15,0.15,0.04,3,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,22.37,2.08,0.07,2.08,4,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,31.02,2.54,1.90,1.69,5,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,25.18,0.27,0.09,0.26,6,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,65.15,6.33,1.72,6.09,7,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,42.58,0.38,0.32,0.21,8,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,25.98,4.01,3.84,1.15,9,2,spatialHarmonicsTwoD,0,2,,6,2,2
25/08/2021 15:00:07,26.82,8.84,8.00,3.77,10,2,spatialHarmonicsTwoD,0,2,,6,2,2
27/08/2021 7:51:54 AM,64.22,0.38,0.37,0.08,1,0,spatialHarmonicsTwoD,2,4,8/26/2021 19:20:41,2,1,2
27/08/2021 7:51:54 AM,69.57,0.47,0.47,0.01,2,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,26.05,20.90,20.69,2.91,3,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,38.38,0.37,0.35,0.12,4,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,10.80,0.26,0.10,0.24,5,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,12.25,0.35,0.03,0.35,6,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,20.80,0.35,0.32,0.14,7,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,17.10,0.16,0.04,0.16,8,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,12.78,0.24,0.05,0.24,9,0,spatialHarmonicsTwoD,2,4,,2,1,2
27/08/2021 7:51:54 AM,24.56,0.17,0.14,0.10,10,0,spatialHarmonicsTwoD,2,4,,2,1,2
18/08/2021 11:10:35 AM,21.31,0.99,0.13,0.98,1,2,spatialHarmonicsTwoD,2,2,8/17/2021 22:32:29,1,1,2
18/08/2021 11:10:35 AM,11.64,4.63,4.16,2.04,2,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,16.04,4.55,2.03,4.07,3,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,11.12,4.57,4.15,1.93,4,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,8.02,1.08,0.76,0.77,5,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,8.42,1.57,0.72,1.39,6,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,23.07,1.30,0.34,1.26,7,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,7.72,2.35,0.79,2.21,8,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,12.98,1.13,0.02,1.13,9,2,spatialHarmonicsTwoD,2,2,,1,1,2
18/08/2021 11:10:35 AM,22.40,2.98,1.88,2.31,10,2,spatialHarmonicsTwoD,2,2,,1,1,2
30/08/2021 9:35:39 PM,32.36,0.21,0.10,0.18,1,2,spatialHarmonicsTwoD,0,2,8/30/2021 10:56:22,7,2,2
30/08/2021 9:35:39 PM,16.90,0.22,0.15,0.17,2,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,18.00,0.40,0.36,0.17,3,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,27.09,0.14,0.14,0.03,4,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,14.04,0.16,0.16,0.04,5,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,8.11,0.19,0.18,0.05,6,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,19.12,0.39,0.10,0.38,7,2,spatialHarmonicsTwoD,0,2,,7,2,2
30/08/2021 9:35:39 PM,4.25,0.21,0.02,0.21,8,2,spatialHarmonicsTwoD,0,2,,7,2,2
