userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,
18/08/2021 11:10:35 AM,21.31,0.99,0.13,0.98,1,2,spatialHarmonicsTwoD,2,2,8/17/2021 22:32:29,bvi
18/08/2021 11:10:35 AM,11.64,4.63,4.16,2.04,2,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,16.04,4.55,2.03,4.07,3,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,11.12,4.57,4.15,1.93,4,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,8.02,1.08,0.76,0.77,5,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,8.42,1.57,0.72,1.39,6,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,23.07,1.30,0.34,1.26,7,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,7.72,2.35,0.79,2.21,8,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,12.98,1.13,0.02,1.13,9,2,spatialHarmonicsTwoD,2,2,,
18/08/2021 11:10:35 AM,22.40,2.98,1.88,2.31,10,2,spatialHarmonicsTwoD,2,2,,
19/08/2021 2:25:19 p.m.,13.21,11.24,7.82,8.08,1,0,spatialHarmonicsTwoD,4,4,8/18/2021 23:21:52,bvi
19/08/2021 2:25:19 p.m.,8.77,3.87,0.15,3.87,2,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.13,8.10,7.83,2.07,3,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,11.76,7.39,6.14,4.11,4,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.49,11.60,8.37,8.03,5,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,11.36,2.37,1.70,1.65,6,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.99,4.26,1.98,3.77,7,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.25,3.85,0.24,3.84,8,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.96,4.63,4.05,2.26,9,0,spatialHarmonicsTwoD,4,4,,
19/08/2021 2:25:19 p.m.,3.58,1.38,0.06,1.38,10,0,spatialHarmonicsTwoD,4,4,,
30/08/2021 9:35:39 PM,32.36,0.21,0.10,0.18,1,2,spatialHarmonicsTwoD,0,2,8/30/2021 10:56:22,bvi
30/08/2021 9:35:39 PM,16.90,0.22,0.15,0.17,2,2,spatialHarmonicsTwoD,0,2,,
