userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
8/23/2021 10:18:19 PM,11.32,0.17,0.14,0.10,1,1,spatialPitch,5,0,8/23/2021 22:44:47,4,2
8/23/2021 10:18:19 PM,32.02,0.34,0.34,0.04,2,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,18.13,0.06,0.03,0.05,3,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,11.12,0.22,0.15,0.17,4,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,50.03,0.17,0.15,0.08,5,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,13.12,0.23,0.07,0.22,6,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,60.17,0.01,0.01,0.00,7,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,14.62,0.09,0.06,0.07,8,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,12.59,0.07,0.07,0.01,9,1,spatialPitch,5,0,,4,2
8/23/2021 10:18:19 PM,8.12,0.23,0.11,0.20,10,1,spatialPitch,5,0,,4,2
8/24/2021 7:36:46 PM,75.62,0.12,0.08,0.09,1,1,spatialPitch,7,0,8/24/2021 20:13:56,3,2
8/24/2021 7:36:46 PM,28.25,0.04,0.01,0.04,2,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,16.31,0.05,0.04,0.02,3,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,108.12,0.02,0.01,0.02,4,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,88.66,0.17,0.06,0.16,5,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,17.56,0.04,0.00,0.04,6,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,28.45,0.06,0.03,0.05,7,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,17.63,0.05,0.02,0.05,8,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,34.78,0.10,0.03,0.10,9,1,spatialPitch,7,0,,3,2
8/24/2021 7:36:46 PM,82.31,0.10,0.07,0.06,10,1,spatialPitch,7,0,,3,2
25/08/2021 15:00:07,10.95,0.70,0.40,0.58,1,0,spatialPitch,7,2,8/25/2021 14:50:02,6,2
25/08/2021 15:00:07,6.23,0.08,0.08,0.02,2,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,14.52,0.20,0.19,0.04,3,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,40.93,3.38,3.30,0.77,4,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,9.57,11.50,10.27,5.17,5,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,45.03,12.03,8.58,8.44,6,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,12.03,3.29,1.27,3.04,7,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,34.31,0.26,0.24,0.10,8,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,11.80,0.14,0.12,0.07,9,0,spatialPitch,7,2,,6,2
25/08/2021 15:00:07,11.80,5.31,1.88,4.97,10,0,spatialPitch,7,2,,6,2
25/08/2021 18:08:39,13.94,0.35,0.27,0.22,1,2,spatialPitch,0,3,8/25/2021 17:39:17,5,2
25/08/2021 18:08:39,14.39,0.56,0.15,0.54,2,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,13.73,0.26,0.06,0.25,3,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,15.23,0.34,0.21,0.27,4,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,18.96,1.76,0.28,1.74,5,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,21.26,0.57,0.03,0.57,6,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,13.59,0.18,0.10,0.15,7,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,14.99,0.12,0.06,0.11,8,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,10.33,4.34,3.88,1.94,9,2,spatialPitch,0,3,,5,2
25/08/2021 18:08:39,12.53,6.34,5.76,2.66,10,2,spatialPitch,0,3,,5,2
27/08/2021 12:12:34 PM,20.49,0.11,0.10,0.04,1,2,spatialPitch,3,3,8/26/2021 23:10:52,4,2
27/08/2021 12:12:34 PM,10.96,0.25,0.24,0.07,2,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,8.26,0.10,0.09,0.04,3,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,6.26,0.26,0.03,0.26,4,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,22.72,3.08,3.02,0.58,5,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,16.82,0.41,0.37,0.17,6,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,23.29,0.12,0.06,0.10,7,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,10.51,0.36,0.21,0.29,8,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,5.79,0.17,0.16,0.03,9,2,spatialPitch,3,3,,4,2
27/08/2021 12:12:34 PM,14.39,0.26,0.08,0.25,10,2,spatialPitch,3,3,,4,2
29/08/2021 11:26:21,0.07,5.83,4.97,3.04,1,1,spatialPitch,5,0,8/29/2021 11:09:05,3,2
29/08/2021 11:26:21,49.40,2.21,0.11,2.20,2,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,0.07,6.04,6.03,0.33,3,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,19.04,0.43,0.41,0.14,4,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,14.77,0.65,0.65,0.01,5,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,133.67,5.70,5.17,2.41,6,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,72.47,8.07,8.03,0.79,7,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,25.15,0.16,0.12,0.11,8,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,0.07,10.10,8.97,4.65,9,1,spatialPitch,5,0,,3,2
29/08/2021 11:26:21,51.25,0.54,0.07,0.54,10,1,spatialPitch,5,0,,3,2
8/29/2021 2:10:07 PM,7.94,2.48,1.53,1.95,1,2,spatialPitch,3,3,8/29/2021 14:41:14,2,2
8/29/2021 2:10:07 PM,14.20,1.77,1.59,0.78,2,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,31.55,1.68,1.66,0.22,3,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,14.61,2.61,2.39,1.05,4,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,27.88,4.29,4.24,0.70,5,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,12.01,1.27,1.17,0.49,6,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,16.00,1.48,0.14,1.47,7,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,14.33,2.15,0.23,2.14,8,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,3.55,0.54,0.54,0.01,9,2,spatialPitch,3,3,,2,2
8/29/2021 2:10:07 PM,7.82,1.46,1.45,0.23,10,2,spatialPitch,3,3,,2,2
8/30/2021 4:53:43 PM,44.43,0.03,0.01,0.03,3,1,spatialPitch,7,0,8/30/2021 17:31:10,2,2
8/30/2021 4:53:43 PM,44.15,0.15,0.00,0.15,4,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,42.98,0.11,0.08,0.08,5,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,25.66,0.07,0.05,0.05,6,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,37.32,0.06,0.01,0.06,7,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,32.07,0.01,0.00,0.01,8,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,41.63,0.06,0.02,0.06,9,1,spatialPitch,7,0,,2,2
8/30/2021 4:53:43 PM,16.56,0.07,0.04,0.05,10,1,spatialPitch,7,0,,2,2
30/08/2021 9:35:39 PM,19.29,0.01,0.01,0.00,1,0,spatialPitch,4,2,8/30/2021 10:56:22,7,2
30/08/2021 9:35:39 PM,8.82,0.53,0.50,0.17,2,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,7.73,0.17,0.10,0.13,3,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,12.83,0.40,0.32,0.24,4,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,5.90,0.27,0.15,0.22,5,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,21.23,0.22,0.21,0.05,6,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,20.51,0.41,0.17,0.37,7,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,10.82,0.47,0.43,0.19,8,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,4.47,0.04,0.04,0.02,9,0,spatialPitch,4,2,,7,2
30/08/2021 9:35:39 PM,5.52,0.31,0.30,0.05,10,0,spatialPitch,4,2,,7,2
31/08/2021 14:20:07,40.50,0.68,0.48,0.49,1,0,spatialPitch,6,2,8/31/2021 15:00:14,4,2
31/08/2021 14:20:07,8.85,0.77,0.49,0.59,2,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,32.33,0.80,0.79,0.12,3,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,35.07,0.40,0.12,0.38,4,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,28.52,0.25,0.24,0.02,5,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,19.57,0.16,0.14,0.08,6,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,12.83,0.16,0.06,0.15,7,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,28.63,0.25,0.16,0.19,8,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,13.38,0.20,0.13,0.15,9,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:07,58.08,0.15,0.09,0.11,10,0,spatialPitch,6,2,,4,2
31/08/2021 14:20:24,76.47,0.29,0.11,0.27,1,2,spatialPitch,2,3,8/31/2021 14:38:49,7,2
31/08/2021 14:20:24,15.37,0.07,0.06,0.04,2,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,12.60,0.11,0.03,0.10,3,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,57.35,0.12,0.01,0.12,4,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,22.93,0.05,0.04,0.03,5,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,16.23,0.01,0.01,0.01,6,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,17.18,0.07,0.03,0.06,7,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,47.37,0.50,0.33,0.38,8,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,55.15,1.19,1.06,0.54,9,2,spatialPitch,2,3,,7,2
31/08/2021 14:20:24,16.25,0.65,0.54,0.37,10,2,spatialPitch,2,3,,7,2
4/8/2021 9:55:34 AM,17.95,0.09,0.09,0.02,1,5,spatialPitch,5,6,4/8/2021 9:55:34 AM,6,2
4/8/2021 9:55:34 AM,15.38,0.18,0.17,0.07,2,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,24.85,0.05,0.04,0.01,3,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,16.55,0.14,0.06,0.12,4,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,7.45,0.06,0.04,0.04,5,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,17.45,0.23,0.17,0.16,6,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,16.12,0.08,0.03,0.07,7,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,21.24,0.12,0.06,0.10,8,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,14.15,0.06,0.03,0.05,9,5,spatialPitch,5,6,,6,2
4/8/2021 9:55:34 AM,3.40,0.04,0.04,0.01,10,5,spatialPitch,5,6,,6,2
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 178,24.59,1.10,0.85,0.55,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,X target,Y target,2D target,,,,,0.2948783882,7,
,Acc:,,0.8898305085,0.9152542373,0.8559322034,,,,,1.896958074,6,
,,,,,,,,,,1.48168034,5,
BVI ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,0.3503998657,4,
N = 60,22.16,0.27,0.20,0.16,,more error-prone,,,,2.024934684,3,
,,,,,,,,,,1.12765809,2,
,,,X target,Y target,2D target,,,,,#DIV/0!,1,
,Acc:,,1,1,1,more accurate,,,,,,
,,,,,,,,,,,,
SIGHTED ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,Avg 2D distance,musicalTheoryRating,
N = 118,25.84,1.53,1.19,0.75,,,,,118,1.101373457,Some/High,
,,,,,,,,,0,#DIV/0!,Low/None,
,,,X target,Y target,2D target,,,,,,,
,Acc:,,0.8333333333,0.8717948718,0.7820512821,,,,,,,
