userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
19/08/2021 12:30:01 PM,9.82,1.43,1.43,0.04,1,2,spatialPitch,8,3,8/19/2021 1:28:24,2,1
19/08/2021 12:30:01 PM,17.90,1.22,1.02,0.66,2,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,34.38,2.42,1.24,2.08,3,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,9.22,2.77,2.73,0.49,4,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,7.24,0.94,0.81,0.47,5,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,11.52,2.84,2.61,1.13,6,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,10.77,1.95,1.83,0.67,7,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,14.68,1.85,0.30,1.83,8,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,12.02,1.42,0.97,1.04,9,2,spatialPitch,8,3,,2,1
19/08/2021 12:30:01 PM,10.74,0.14,0.13,0.05,10,2,spatialPitch,8,3,,2,1
25/08/2021 20:47:23,15.81,0.11,0.08,0.08,1,0,spatialPitch,0,2,8/25/2021 21:17:00,1,1
25/08/2021 20:47:23,33.50,0.05,0.04,0.01,2,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,6.00,0.13,0.13,0.04,3,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,16.52,0.04,0.03,0.03,4,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,22.48,0.14,0.09,0.11,5,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,10.80,0.07,0.06,0.03,6,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,17.17,0.07,0.04,0.06,7,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,24.14,0.08,0.06,0.06,8,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,22.08,0.22,0.18,0.12,9,0,spatialPitch,0,2,,1,1
25/08/2021 20:47:23,17.17,0.08,0.02,0.08,10,0,spatialPitch,0,2,,1,1
27/08/2021 13:09:58,14.40,0.13,0.07,0.11,1,2,spatialPitch,0,3,8/27/2021 13:34:38,1,1
27/08/2021 13:09:58,20.79,0.06,0.06,0.00,2,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,12.37,0.03,0.03,0.01,3,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,10.27,0.11,0.07,0.09,4,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,16.05,0.13,0.07,0.10,5,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,10.17,0.12,0.04,0.11,6,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,9.37,0.08,0.05,0.06,7,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,5.57,0.55,0.18,0.52,8,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,15.33,0.14,0.07,0.12,9,2,spatialPitch,0,3,,1,1
27/08/2021 13:09:58,15.97,0.19,0.14,0.13,10,2,spatialPitch,0,3,,1,1
29/08/2021 01:20:51,7.57,0.10,0.09,0.05,1,1,spatialPitch,4,0,8/29/2021 0:03:43,1,1
29/08/2021 01:20:51,14.28,0.43,0.29,0.32,2,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,46.53,0.18,0.02,0.18,3,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,12.62,0.21,0.04,0.21,4,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,24.45,0.59,0.59,0.06,5,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,3.43,0.85,0.17,0.83,6,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,13.57,0.20,0.01,0.20,7,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,14.55,0.40,0.03,0.40,8,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,16.74,0.33,0.01,0.33,9,1,spatialPitch,4,0,,1,1
29/08/2021 01:20:51,22.90,0.31,0.19,0.25,10,1,spatialPitch,4,0,,1,1
18/08/2021 11:10:35 AM,18.83,0.40,0.27,0.30,1,0,spatialPitch,7,2,8/17/2021 22:32:29,1,1
18/08/2021 11:10:35 AM,13.09,0.26,0.17,0.20,2,0,spatialPitch,7,2,,1,1
18/08/2021 11:10:35 AM,10.39,0.41,0.20,0.36,3,0,spatialPitch,7,2,,1,1
18/08/2021 11:10:35 AM,27.07,0.19,0.15,0.11,4,0,spatialPitch,7,2,,1,1
18/08/2021 11:10:35 AM,22.01,0.15,0.15,0.05,5,0,spatialPitch,7,2,,1,1
18/08/2021 11:10:35 AM,18.11,0.11,0.04,0.10,6,0,spatialPitch,7,2,,1,1
18/08/2021 11:10:35 AM,14.86,0.57,0.16,0.55,7,0,spatialPitch,7,2,,1,1
